idx,x,y,hlen,hcod
145,9,1,10,1001100
146,9,2,10,1001001
147,9,3,11,10001101
148,9,4,11,10000011
149,9,5,12,100000000
150,9,6,12,11110101
151,9,7,13,110101010
152,9,8,13,110010110
153,9,9,13,110001010
154,9,10,13,110000000
155,9,11,14,1011011111
156,9,12,13,101100111
157,9,13,14,1011000110
158,9,14,13,101100000
159,9,15,11,1011
160,10,0,11,10001011
161,10,1,11,10000001
162,10,2,10,1000011
163,10,3,11,1111101
164,10,4,12,11110111
165,10,5,12,11101001
166,10,6,12,11100101
167,10,7,12,11011011
168,10,8,13,110001001
169,10,9,14,1011100111
170,10,10,14,1011100001
171,10,11,14,1011010000
172,10,12,15,1101110101
173,10,13,15,1101110010
174,10,14,14,110110111
175,10,15,10,100
176,11,0,12,11110011
177,11,1,11,1111000
178,11,2,11,1110110
179,11,3,11,1110011
180,11,4,12,11100011
181,11,5,12,11011111
182,11,6,13,110001100
183,11,7,14,1011101010
184,11,8,14,1011100110
185,11,9,14,1011100000
186,11,10,14,1011010001
187,11,11,14,1011001000
188,11,12,14,1011000010
189,11,13,13,11011111
190,11,14,14,110110100
191,11,15,11,110
192,12,0,12,11001010
193,12,1,12,11100000
194,12,2,12,11011110
195,12,3,12,11011010
196,12,4,12,11011000
197,12,5,13,110000101
198,12,6,13,110000010
199,12,7,13,101111101
200,12,8,13,101101100
201,12,9,15,1101111000
202,12,10,14,110111011
203,12,11,14,1011000011
204,12,12,14,110111000
205,12,13,14,110110101
206,12,14,16,11011000000
207,12,15,11,100
208,13,0,14,1011101011
209,13,1,12,11010011
210,13,2,12,11010010
211,13,3,12,11010000
212,13,4,13,101110010
213,13,5,13,101111011
214,13,6,14,1011011110
215,13,7,14,1011010011
216,13,8,14,1011001010
217,13,9,16,11011000111
218,13,10,15,1101110011
219,13,11,15,1101101101
220,13,12,15,1101101100
221,13,13,17,110110000011
222,13,14,15,1101100001
223,13,15,11,10
224,14,0,13,101111001
225,14,1,13,101110001
226,14,2,11,1100110
227,14,3,12,10111011
228,14,4,14,1011010110
229,14,5,14,1011010010
230,14,6,13,101100110
231,14,7,14,1011000111
232,14,8,14,1011000101
233,14,9,15,1101100010
234,14,10,16,11011000110
235,14,11,15,1101100111
236,14,12,17,110110000010
237,14,13,15,1101100110
238,14,14,14,110110010
239,14,15,11,0
240,15,0,9,1100
241,15,1,8,1010
242,15,2,8,111
243,15,3,9,1011
244,15,4,9,1010
245,15,5,10,10001
246,15,6,10,1011
247,15,7,10,1001
248,15,8,11,1101
249,15,9,11,1100
250,15,10,11,1010
251,15,11,11,111
252,15,12,11,101
253,15,13,11,11
254,15,14,11,1
255,15,15,8,11
