idx,x,y,hlen,hcod
0,0,0,1,1
1,0,1,4,101
2,0,2,6,1110
3,0,3,8,101100
4,0,4,9,1001010
5,0,5,9,111111
6,0,6,10,1101110
7,0,7,10,1011101
8,0,8,11,10101100
9,0,9,11,10010101
10,0,10,11,10001010
11,0,11,12,11110010
12,0,12,12,11100001
13,0,13,12,11000011
14,0,14,13,101111000
15,0,15,9,10001
16,1,0,3,11
17,1,1,4,100
18,1,2,6,1100
19,1,3,7,10100
20,1,4,8,100011
21,1,5,9,111110
22,1,6,9,110101
23,1,7,9,101111
24,1,8,10,1010011
25,1,9,10,1001011
26,1,10,10,1000100
27,1,11,11,1110111
28,1,12,12,11001001
29,1,13,11,1101011
30,1,14,12,11001111
31,1,15,8,1001
32,2,0,6,1111
33,2,1,6,1101
34,2,2,7,10111
35,2,3,8,100110
36,2,4,9,1000011
37,2,5,9,111010
38,2,6,10,1100111
39,2,7,10,1011010
40,2,8,11,10100001
41,2,9,10,1001000
42,2,10,11,1111111
43,2,11,11,1110101
44,2,12,11,1101110
45,2,13,12,11010001
46,2,14,12,11001110
47,2,15,9,10000
48,3,0,8,101101
49,3,1,7,10101
50,3,2,8,100111
51,3,3,9,1000101
52,3,4,9,1000000
53,3,5,10,1110010
54,3,6,10,1100011
55,3,7,10,1010111
56,3,8,11,10011110
57,3,9,11,10001100
58,3,10,12,11111100
59,3,11,12,11010100
60,3,12,12,11000111
61,3,13,13,110000011
62,3,14,13,101101101
63,3,15,10,11010
64,4,0,9,1001011
65,4,1,8,100100
66,4,2,9,1000100
67,4,3,9,1000001
68,4,4,10,1110011
69,4,5,10,1100101
70,4,6,11,10110011
71,4,7,11,10100100
72,4,8,11,10011011
73,4,9,12,100001000
74,4,10,12,11110110
75,4,11,12,11100010
76,4,12,13,110001011
77,4,13,13,101111110
78,4,14,13,101101010
79,4,15,9,1001
80,5,0,9,1000010
81,5,1,8,11110
82,5,2,9,111011
83,5,3,9,111000
84,5,4,10,1100110
85,5,5,11,10111001
86,5,6,11,10101101
87,5,7,12,100001001
88,5,8,11,10001110
89,5,9,12,11111101
90,5,10,12,11101000
91,5,11,13,110010000
92,5,12,13,110000100
93,5,13,13,101111010
94,5,14,14,110111101
95,5,15,10,10000
96,6,0,10,1101111
97,6,1,9,110110
98,6,2,9,110100
99,6,3,10,1100100
100,6,4,11,10111000
101,6,5,11,10110010
102,6,6,11,10100000
103,6,7,11,10000101
104,6,8,12,100000001
105,6,9,12,11110100
106,6,10,12,11100100
107,6,11,12,11011001
108,6,12,13,110000001
109,6,13,13,101101110
110,6,14,14,1011001011
111,6,15,10,1010
112,7,0,10,1100010
113,7,1,9,110000
114,7,2,10,1011011
115,7,3,10,1011000
116,7,4,11,10100101
117,7,5,11,10011101
118,7,6,11,10010100
119,7,7,12,100000101
120,7,8,12,11111000
121,7,9,13,110010111
122,7,10,13,110001101
123,7,11,13,101110100
124,7,12,13,101111100
125,7,13,15,1101111001
126,7,14,15,1101110100
127,7,15,10,1000
128,8,0,10,1010101
129,8,1,10,1010100
130,8,2,10,1010001
131,8,3,11,10011111
132,8,4,11,10011100
133,8,5,11,10001111
134,8,6,12,100000100
135,8,7,12,11111001
136,8,8,13,110101011
137,8,9,13,110010001
138,8,10,13,110001000
139,8,11,13,101111111
140,8,12,14,1011010111
141,8,13,14,1011001001
142,8,14,14,1011000100
143,8,15,10,111
144,9,0,11,10011010
