idx,x,y,hlen,hcod
0,0,0,2,11
1,0,1,3,100
2,0,2,5,1010
3,0,3,7,11000
4,0,4,8,100010
5,0,5,9,100001
6,0,6,8,10101
7,0,7,9,1111
8,1,0,3,101
9,1,1,3,11
10,1,2,4,100
11,1,3,6,1010
12,1,4,8,100000
13,1,5,8,10001
14,1,6,7,1011
15,1,7,8,1010
16,2,0,5,1011
17,2,1,5,111
18,2,2,6,1101
19,2,3,7,10010
20,2,4,8,11110
21,2,5,9,11111
22,2,6,8,10100
23,2,7,8,101
24,3,0,7,11001
25,3,1,6,1011
26,3,2,7,10011
27,3,3,9,111011
28,3,4,8,11011
29,3,5,10,10010
30,3,6,8,1100
31,3,7,9,101
32,4,0,8,100011
33,4,1,8,100001
34,4,2,8,11111
35,4,3,9,111010
36,4,4,9,11110
37,4,5,10,10000
38,4,6,9,111
39,4,7,10,101
40,5,0,8,11100
41,5,1,8,11010
42,5,2,9,100000
43,5,3,10,10011
44,5,4,10,10001
45,5,5,11,1111
46,5,6,10,1000
47,5,7,11,1110
48,6,0,8,1110
49,6,1,7,1100
50,6,2,7,1001
51,6,3,8,1101
52,6,4,9,1110
53,6,5,10,1001
54,6,6,10,100
55,6,7,10,1
56,7,0,8,1011
57,7,1,7,100
58,7,2,8,110
59,7,3,9,110
60,7,4,10,110
61,7,5,10,11
62,7,6,10,10
63,7,7,10,0
