idx,x,y,hlen,hcod
0,0,0,4,1111
1,0,1,4,1101
2,0,2,6,101110
3,0,3,7,1010000
4,0,4,8,10010010
5,0,5,9,100000110
6,0,6,9,11111000
7,0,7,10,110110010
8,0,8,10,110101010
9,0,9,11,1010011101
10,0,10,11,1010001101
11,0,11,11,1010001001
12,0,12,11,1001101101
13,0,13,11,1000000101
14,0,14,12,10000001000
15,0,15,9,1011000
16,1,0,4,1110
17,1,1,4,1100
18,1,2,5,10101
19,1,3,6,100110
20,1,4,7,1000111
21,1,5,8,10000010
22,1,6,8,1111010
23,1,7,9,11011000
24,1,8,9,11010001
25,1,9,9,11000110
26,1,10,10,101000111
27,1,11,10,101011001
28,1,12,10,100111111
29,1,13,10,100101001
30,1,14,10,100010111
31,1,15,8,101010
32,2,0,6,101111
33,2,1,5,10110
34,2,2,6,101001
35,2,3,7,1001010
36,2,4,7,1000100
37,2,5,8,10000000
38,2,6,8,1111000
39,2,7,9,11011101
40,2,8,9,11001111
41,2,9,9,11000010
42,2,10,9,10110110
43,2,11,10,101010100
44,2,12,10,100111011
45,2,13,10,100100111
46,2,14,11,1000011101
47,2,15,7,10010
48,3,0,7,1010001
49,3,1,6,100111
50,3,2,7,1001011
51,3,3,7,1000110
52,3,4,8,10000110
53,3,5,8,1111101
54,3,6,8,1110100
55,3,7,9,11011100
56,3,8,9,11001100
57,3,9,9,10111110
58,3,10,9,10110010
59,3,11,10,101000101
60,3,12,10,100110111
61,3,13,10,100100101
62,3,14,10,100001111
63,3,15,7,10000
64,4,0,8,10010011
65,4,1,7,1001000
66,4,2,7,1000101
67,4,3,8,10000111
68,4,4,8,1111111
69,4,5,8,1110110
70,4,6,8,1110000
71,4,7,9,11010010
72,4,8,9,11001000
73,4,9,9,10111100
74,4,10,10,101100000
75,4,11,10,101000011
76,4,12,10,100110010
77,4,13,10,100011101
78,4,14,11,1000011100
79,4,15,7,1110
80,5,0,9,100000111
81,5,1,7,1000010
82,5,2,8,10000001
83,5,3,8,1111110
84,5,4,8,1110111
85,5,5,8,1110010
86,5,6,9,11010110
87,5,7,9,11001010
88,5,8,9,11000000
89,5,9,9,10110100
90,5,10,10,101010101
91,5,11,10,100111101
92,5,12,10,100101101
93,5,13,10,100011001
94,5,14,10,100000110
95,5,15,7,1100
96,6,0,9,11111001
97,6,1,8,1111011
98,6,2,8,1111001
99,6,3,8,1110101
100,6,4,8,1110001
101,6,5,9,11010111
102,6,6,9,11001110
103,6,7,9,11000011
104,6,8,9,10111001
105,6,9,10,101011011
106,6,10,10,101001010
107,6,11,10,100110100
108,6,12,10,100100011
109,6,13,10,100010000
110,6,14,11,1000001000
111,6,15,7,1010
112,7,0,10,110110011
113,7,1,8,1110011
114,7,2,8,1101111
115,7,3,8,1101101
116,7,4,9,11010011
117,7,5,9,11001011
118,7,6,9,11000100
119,7,7,9,10111011
120,7,8,10,101100001
121,7,9,10,101001100
122,7,10,10,100111001
123,7,11,10,100101010
124,7,12,10,100011011
125,7,13,11,1000010011
126,7,14,11,101111101
127,7,15,8,10001
128,8,0,10,110101011
129,8,1,9,11010100
130,8,2,9,11010000
131,8,3,9,11001101
132,8,4,9,11001001
133,8,5,9,11000001
134,8,6,9,10111010
135,8,7,9,10110001
136,8,8,9,10101001
137,8,9,10,101000000
138,8,10,10,100101111
139,8,11,10,100011110
140,8,12,10,100001100
141,8,13,11,1000000010
142,8,14,11,101111001
143,8,15,8,10000
144,9,0,10,101001111
145,9,1,9,11000111
146,9,2,9,11000101
147,9,3,9,10111111
148,9,4,9,10111101
149,9,5,9,10110101
150,9,6,9,10101110
151,9,7,10,101001101
152,9,8,10,101000001
153,9,9,10,100110001
154,9,10,10,100100001
155,9,11,10,100010011
156,9,12,11,1000001001
157,9,13,11,101111011
158,9,14,11,101110011
159,9,15,8,1011
160,10,0,11,1010011100
161,10,1,9,10111000
162,10,2,9,10110111
163,10,3,9,10110011
164,10,4,9,10101111
165,10,5,10,101011000
166,10,6,10,101001011
167,10,7,10,100111010
168,10,8,10,100110000
169,10,9,10,100100010
170,10,10,10,100010101
171,10,11,11,1000010010
172,10,12,11,101111111
173,10,13,11,101110101
174,10,14,11,101101110
175,10,15,8,1010
176,11,0,11,1010001100
177,11,1,10,101011010
178,11,2,9,10101011
179,11,3,9,10101000
180,11,4,9,10100100
181,11,5,10,100111110
182,11,6,10,100110101
183,11,7,10,100101011
184,11,8,10,100011111
185,11,9,10,100010100
186,11,10,10,100000111
187,11,11,11,1000000001
188,11,12,11,101110111
189,11,13,11,101110000
190,11,14,11,101101010
191,11,15,8,110
192,12,0,11,1010001000
193,12,1,10,101000010
194,12,2,10,100111100
195,12,3,10,100111000
196,12,4,10,100110011
197,12,5,10,100101110
198,12,6,10,100100100
199,12,7,10,100011100
200,12,8,10,100001101
201,12,9,10,100000101
202,12,10,11,1000000000
203,12,11,11,101111000
204,12,12,11,101110010
205,12,13,11,101101100
206,12,14,11,101100111
207,12,15,8,100
208,13,0,11,1001101100
209,13,1,10,100101100
210,13,2,10,100101000
211,13,3,10,100100110
