idx,x,y,hlen,hcod
0,0,0,1,1
1,0,1,3,10
2,0,2,6,1010
3,0,3,8,10111
4,0,4,9,100011
5,0,5,9,11110
6,0,6,9,1100
7,0,7,10,10001
8,1,0,3,11
9,1,1,4,11
10,1,2,6,1000
11,1,3,7,1100
12,1,4,8,10010
13,1,5,9,10101
14,1,6,8,1100
15,1,7,8,111
16,2,0,6,1011
17,2,1,6,1001
18,2,2,7,1111
19,2,3,8,10101
20,2,4,9,100000
21,2,5,10,101000
22,2,6,9,10011
23,2,7,9,110
24,3,0,7,1110
25,3,1,7,1101
26,3,2,8,10110
27,3,3,9,100010
28,3,4,10,101110
29,3,5,10,10111
30,3,6,9,10010
31,3,7,10,111
32,4,0,8,10100
33,4,1,8,10011
34,4,2,9,100001
35,4,3,10,101111
36,4,4,10,11011
37,4,5,10,10110
38,4,6,10,1001
39,4,7,10,11
40,5,0,9,11111
41,5,1,9,10110
42,5,2,10,101001
43,5,3,10,11010
44,5,4,11,10101
45,5,5,11,10100
46,5,6,10,101
47,5,7,11,11
48,6,0,8,1110
49,6,1,8,1101
50,6,2,9,1010
51,6,3,10,1011
52,6,4,10,10000
53,6,5,10,110
54,6,6,11,101
55,6,7,11,1
56,7,0,9,1001
57,7,1,8,1000
58,7,2,9,111
59,7,3,10,1000
60,7,4,10,100
61,7,5,11,100
62,7,6,11,10
63,7,7,11,0
