idx,x,y,hlen,hcod
0,0,0,3,111
1,0,1,4,1100
2,0,2,5,10010
3,0,3,7,110101
4,0,4,7,101111
5,0,5,8,1001100
6,0,6,9,1111100
7,0,7,9,1101100
8,0,8,9,1011001
9,0,9,10,1111011
10,0,10,10,1101100
11,0,11,11,1110111
12,0,12,11,1101011
13,0,13,11,1010001
14,0,14,12,1111010
15,0,15,13,111111
16,1,0,4,1101
17,1,1,3,101
18,1,2,5,10000
19,1,3,6,11011
20,1,4,7,101110
21,1,5,7,100100
22,1,6,8,111101
23,1,7,8,110011
24,1,8,8,101010
25,1,9,9,1000110
26,1,10,9,110100
27,1,11,10,1010011
28,1,12,10,1000001
29,1,13,10,101001
30,1,14,11,111011
31,1,15,11,100100
32,2,0,5,10011
33,2,1,5,10001
34,2,2,5,1111
35,2,3,6,11000
36,2,4,7,101001
37,2,5,7,100010
38,2,6,8,111011
39,2,7,8,110000
40,2,8,8,101000
41,2,9,9,1000000
42,2,10,9,110010
43,2,11,10,1001110
44,2,12,10,111110
45,2,13,11,1010000
46,2,14,11,111000
47,2,15,11,100001
48,3,0,6,11101
49,3,1,6,11100
50,3,2,6,11001
51,3,3,7,101011
52,3,4,7,100111
53,3,5,8,111111
54,3,6,8,110111
55,3,7,9,1011101
56,3,8,9,1001100
57,3,9,9,111011
58,3,10,10,1011101
59,3,11,10,1001000
60,3,12,10,110110
61,3,13,11,1001011
62,3,14,11,110010
63,3,15,11,11101
64,4,0,7,110100
65,4,1,6,10110
66,4,2,7,101010
67,4,3,7,101000
68,4,4,8,1000011
69,4,5,8,111001
70,4,6,9,1011111
71,4,7,9,1001111
72,4,8,9,1001000
73,4,9,9,111001
74,4,10,10,1011001
75,4,11,10,1000101
76,4,12,10,110001
77,4,13,11,1000010
78,4,14,11,101110
79,4,15,11,11011
80,5,0,8,1001101
81,5,1,7,100101
82,5,2,7,100011
83,5,3,8,1000010
84,5,4,8,111010
85,5,5,8,110100
86,5,6,9,1011011
87,5,7,9,1001010
88,5,8,9,111110
89,5,9,9,110000
90,5,10,10,1001111
91,5,11,10,111111
92,5,12,11,1011010
93,5,13,11,111110
94,5,14,11,101000
95,5,15,12,100110
96,6,0,9,1111101
97,6,1,7,100000
98,6,2,8,111100
99,6,3,8,111000
100,6,4,8,110010
101,6,5,9,1011100
102,6,6,9,1001110
103,6,7,9,1000001
104,6,8,9,110111
105,6,9,10,1010111
106,6,10,10,1000111
107,6,11,10,110011
108,6,12,11,1001001
109,6,13,11,110011
110,6,14,12,1000110
111,6,15,12,11110
112,7,0,9,1101101
113,7,1,8,110101
114,7,2,8,110001
115,7,3,9,1011110
116,7,4,9,1011000
117,7,5,9,1001011
118,7,6,9,1000010
119,7,7,10,1111010
120,7,8,10,1011011
121,7,9,10,1001001
122,7,10,10,111000
123,7,11,10,101010
124,7,12,11,1000000
125,7,13,11,101100
126,7,14,11,10101
127,7,15,12,11001
128,8,0,9,1011010
129,8,1,8,101011
130,8,2,8,101001
131,8,3,9,1001101
132,8,4,9,1001001
133,8,5,9,111111
134,8,6,9,111000
135,8,7,10,1011100
136,8,8,10,1001101
137,8,9,10,1000010
138,8,10,10,101111
139,8,11,11,1000011
140,8,12,11,110000
141,8,13,12,110101
142,8,14,12,100100
143,8,15,12,10100
144,9,0,9,1000111
145,9,1,8,100010
146,9,2,9,1000011
147,9,3,9,111100
148,9,4,9,111010
149,9,5,9,110001
150,9,6,10,1011000
151,9,7,10,1001100
152,9,8,10,1000011
153,9,9,11,1101010
154,9,10,11,1000111
155,9,11,11,110110
156,9,12,11,100110
157,9,13,12,100111
158,9,14,12,10111
159,9,15,12,1111
160,10,0,10,1101101
161,10,1,9,110101
162,10,2,9,110011
163,10,3,9,101111
164,10,4,10,1011010
165,10,5,10,1010010
166,10,6,10,111010
167,10,7,10,111001
168,10,8,10,110000
169,10,9,11,1001000
170,10,10,11,111001
171,10,11,11,101001
172,10,12,11,10111
173,10,13,12,11011
174,10,14,13,111110
175,10,15,12,1001
176,11,0,10,1010110
177,11,1,9,101010
178,11,2,9,101000
179,11,3,9,100101
180,11,4,10,1000110
181,11,5,10,1000000
182,11,6,10,110100
183,11,7,10,101011
184,11,8,11,1000110
185,11,9,11,110111
186,11,10,11,101010
187,11,11,11,11001
188,11,12,12,11101
189,11,13,12,10010
190,11,14,12,1011
191,11,15,13,1011
192,12,0,11,1110110
193,12,1,10,1000100
194,12,2,9,11110
195,12,3,10,110111
196,12,4,10,110010
197,12,5,10,101110
198,12,6,11,1001010
199,12,7,11,1000001
200,12,8,11,110001
201,12,9,11,100111
202,12,10,11,11000
203,12,11,11,10000
204,12,12,12,10110
205,12,13,12,1101
206,12,14,13,1110
207,12,15,13,111
208,13,0,11,1011011
209,13,1,10,101100
210,13,2,10,100111
211,13,3,10,100110
212,13,4,10,100010
213,13,5,11,111111
214,13,6,11,110100
215,13,7,11,101101
216,13,8,11,11111
217,13,9,12,110100
218,13,10,12,11100
219,13,11,12,10011
220,13,12,12,1110
221,13,13,12,1000
222,13,14,13,1001
223,13,15,13,11
224,14,0,12,1111011
225,14,1,11,111100
226,14,2,11,111010
227,14,3,11,110101
228,14,4,11,101111
229,14,5,11,101011
230,14,6,11,100000
231,14,7,11,10110
232,14,8,12,100101
233,14,9,12,11000
234,14,10,12,10001
235,14,11,12,1100
236,14,12,13,1111
237,14,13,13,1010
238,14,14,12,10
239,14,15,13,1
240,15,0,12,1000111
241,15,1,11,100101
242,15,2,11,100010
243,15,3,11,11110
244,15,4,11,11100
245,15,5,11,10100
246,15,6,11,10001
247,15,7,12,11010
248,15,8,12,10101
249,15,9,12,10000
250,15,10,12,1010
251,15,11,12,110
252,15,12,13,1000
253,15,13,13,110
254,15,14,13,10
255,15,15,13,0
