idx,x,y,hlen,hcod
151,9,7,13,1010001
152,9,8,12,1000010
153,9,9,13,1001100
154,9,10,13,111001
155,9,11,14,110110
156,9,12,14,100101
157,9,13,14,10010
158,9,14,16,100111
159,9,15,15,1011
160,10,0,10,100011
161,10,1,10,100001
162,10,2,10,11111
163,10,3,11,111001
164,10,4,11,101010
165,10,5,12,1010010
166,10,6,12,1001000
167,10,7,13,1010000
168,10,8,12,101111
169,10,9,13,111010
170,10,10,14,110111
171,10,11,13,10101
172,10,12,14,10110
173,10,13,15,11010
174,10,14,16,100110
175,10,15,17,10110
176,11,0,11,110101
177,11,1,10,11001
178,11,2,10,10111
179,11,3,11,100110
180,11,4,12,1000110
181,11,5,12,111100
182,11,6,12,110011
183,11,7,12,100100
184,11,8,13,110111
185,11,9,13,11010
186,11,10,13,100010
187,11,11,14,10111
188,11,12,15,11011
189,11,13,15,1110
190,11,14,15,1001
191,11,15,16,111
192,12,0,11,100010
193,12,1,11,100000
194,12,2,11,11100
195,12,3,12,100111
196,12,4,12,110001
197,12,5,13,1001011
198,12,6,12,11110
199,12,7,13,110100
200,12,8,14,110000
201,12,9,14,101000
202,12,10,15,110100
203,12,11,15,11100
204,12,12,15,10010
205,12,13,16,10001
206,12,14,16,1001
207,12,15,16,101
208,13,0,12,101101
209,13,1,11,10101
210,13,2,12,100010
211,13,3,13,1000000
212,13,4,13,111000
213,13,5,13,110010
214,13,6,14,110001
215,13,7,14,101101
216,13,8,14,11111
217,13,9,14,10011
218,13,10,14,1100
219,13,11,15,1111
220,13,12,16,1010
221,13,13,15,111
222,13,14,16,110
223,13,15,16,11
224,14,0,13,110000
225,14,1,12,10111
226,14,2,12,10100
227,14,3,13,100111
228,14,4,13,100100
229,14,5,13,100011
230,14,6,15,110101
231,14,7,14,10101
232,14,8,14,10000
233,14,9,17,10111
234,14,10,15,1101
235,14,11,15,1010
236,14,12,15,110
237,14,13,17,1
238,14,14,16,100
239,14,15,16,10
240,15,0,12,10000
241,15,1,12,1111
242,15,2,13,10001
243,15,3,14,11011
244,15,4,14,11001
245,15,5,14,10100
246,15,6,15,11101
247,15,7,14,1011
248,15,8,15,10001
249,15,9,15,1100
250,15,10,16,10000
251,15,11,16,1000
252,15,12,19,1
253,15,13,18,1
254,15,14,19,0
255,15,15,16,1
