idx,x,y,hlen,hcod
0,0,0,1,1
1,0,1,4,101
2,0,2,6,1110
3,0,3,7,10101
4,0,4,8,100010
5,0,5,9,110011
6,0,6,9,101110
7,0,7,10,1000111
8,0,8,9,101010
9,0,9,10,110100
10,0,10,11,1000100
11,0,11,11,110100
12,0,12,12,1000011
13,0,13,12,101100
14,0,14,13,101011
15,0,15,13,10011
16,1,0,3,11
17,1,1,4,100
18,1,2,6,1100
19,1,3,7,10011
20,1,4,8,11111
21,1,5,8,11010
22,1,6,9,101100
23,1,7,9,100001
24,1,8,9,11111
25,1,9,9,11000
26,1,10,10,100000
27,1,11,10,11000
28,1,12,11,11111
29,1,13,12,100011
30,1,14,12,10110
31,1,15,12,1110
32,2,0,6,1111
33,2,1,6,1101
34,2,2,7,10111
35,2,3,8,100100
36,2,4,9,111011
37,2,5,9,110001
38,2,6,10,1001101
39,2,7,10,1000001
40,2,8,9,11101
41,2,9,10,101000
42,2,10,10,11110
43,2,11,11,101000
44,2,12,11,11011
45,2,13,12,100001
46,2,14,13,101010
47,2,15,13,10000
48,3,0,7,10110
49,3,1,7,10100
50,3,2,8,100101
51,3,3,9,111101
52,3,4,9,111000
53,3,5,10,1001111
54,3,6,10,1001001
55,3,7,10,1000000
56,3,8,10,101011
57,3,9,11,1001100
58,3,10,11,111000
59,3,11,11,100101
60,3,12,11,11010
61,3,13,12,11111
62,3,14,13,11001
63,3,15,13,1110
64,4,0,8,100011
65,4,1,7,10000
66,4,2,9,111100
67,4,3,9,111001
68,4,4,10,1100001
69,4,5,10,1001011
70,4,6,11,1110010
71,4,7,11,1011011
72,4,8,10,110110
73,4,9,11,1001001
74,4,10,11,110111
75,4,11,12,101001
76,4,12,12,110000
77,4,13,13,110101
78,4,14,13,10111
79,4,15,14,11000
80,5,0,9,111010
81,5,1,8,11011
82,5,2,9,110010
83,5,3,10,1100000
84,5,4,10,1001100
85,5,5,10,1000110
86,5,6,11,1011101
87,5,7,11,1010100
88,5,8,11,1001101
89,5,9,11,111010
90,5,10,12,1001111
91,5,11,11,11101
92,5,12,13,1001010
93,5,13,13,110001
94,5,14,14,101001
95,5,15,14,10001
96,6,0,9,101111
97,6,1,9,101101
98,6,2,10,1001110
99,6,3,10,1001010
100,6,4,11,1110011
101,6,5,11,1011110
102,6,6,11,1011010
103,6,7,11,1001111
104,6,8,11,1000101
105,6,9,12,1010011
106,6,10,12,1000111
107,6,11,12,110010
108,6,12,13,111011
109,6,13,13,100110
110,6,14,14,100100
111,6,15,14,1111
112,7,0,10,1001000
113,7,1,9,100010
114,7,2,10,111000
115,7,3,11,1011111
116,7,4,11,1011100
117,7,5,11,1010101
118,7,6,12,1011011
119,7,7,12,1011010
120,7,8,12,1010110
121,7,9,12,1001001
122,7,10,13,1001101
123,7,11,13,1000001
124,7,12,13,110011
125,7,13,14,101100
126,7,14,16,101011
127,7,15,16,101010
128,8,0,9,101011
129,8,1,8,10100
130,8,2,9,11110
131,8,3,10,101100
132,8,4,10,110111
133,8,5,11,1001110
134,8,6,11,1001000
135,8,7,12,1010111
136,8,8,12,1001110
137,8,9,12,111101
138,8,10,12,101110
139,8,11,13,110110
140,8,12,13,100101
141,8,13,14,11110
142,8,14,15,10100
143,8,15,15,10000
144,9,0,10,110101
145,9,1,9,11001
146,9,2,10,101001
147,9,3,10,100101
148,9,4,11,101100
149,9,5,11,111011
150,9,6,11,110110
